,id,format,victory_status,book_moves,opening_name,winner,turns,white_id,white_rating,black_id,black_rating
9641,AsWSYyDc,Classical,mate,3,Bishop's Opening,white,75,wargoss,1624,mashi,1427
9642,8JrLiPoU,Rapid,resign,4,Philidor Defense #2,black,48,mashi,1439,bugatsinho,1422
9643,1EoQv5mm,Rapid,resign,5,Nimzo-Larsen Attack: Modern Variation #4,black,14,texas-ram,1454,mashi,1427
9644,x2cwpcrI,Rapid,mate,2,Pirc Defense #4,white,33,mashi,1413,anactacia,1441
9645,q4qoJqKJ,Rapid,mate,5,Scotch Game,black,42,norok_orion,1444,mashi,1400
9646,AxGtAluc,Rapid,resign,6,Giuoco Piano,white,37,pawnisle,1518,mashi,1408
9647,p1OQCGtH,Rapid,mate,5,Ruy Lopez,white,101,mashi,1394,elturko27,1442
9648,NK4gRxUv,Rapid,mate,2,Ware Defense,white,51,mashi,1380,pmcheater,1418
9649,IVplPQB8,Rapid,mate,8,Four Knights Game: Italian Variation,black,22,lavinia5,1500,mashi,1369
9650,xi7UTE9O,Classical,mate,4,Indian Game: Budapest Defense,white,45,mcervants,1770,mashi,1372
